"app_id";"page_id";"parent_id";"is_hidden";"is_reset";"order#";"col_id"
765;100;"";"";"";10;""
765;105;100;"Y";"";"";""
765;110;100;"Y";"";"";""
765;200;"";"";"Y";200;""
765;980;"";"";"Y";980;""
